Dhamma,Pháp (Teaching/Truth)
Sangha,Tăng đoàn (Monastic community)
Buddha,Phật (Awakened One)
Nibbāna,Niết-bàn (Liberation)
Kamma,Nghiệp (Action/Karma)
Saṃsāra,Luân hồi (Cycle of rebirth)
Sīla,Giới (Morality)
Samādhi,Định (Concentration)
Paññā,Tuệ (Wisdom)
Dukkha,Khổ (Suffering)
Anicca,Vô thường (Impermanence)
Anattā,Vô ngã (Non-self)
Citta,Tâm (Mind/Consciousness)
Bhāvanā,Tu tập (Cultivation/Meditation)
Ānāpāna,Hơi thở (Breath)
Satipaṭṭhāna,Niệm xứ (Foundations of mindfulness)
Jhāna,Thiền chứng (Absorption)
Metta,Từ (Loving-kindness)
Karuṇā,Bi (Compassion)
Muditā,Hỷ (Sympathetic joy)
Upekkhā,Xả (Equanimity)
Sacca,Sự thật (Truth)
Ariya,Thánh (Noble)
Magga,Đạo (Path)
Phala,Quả (Fruit/Result)
Sotāpanna,Nhập lưu (Stream-enterer)
Sakadāgāmī,Nhất lai (Once-returner)
Anāgāmī,Bất lai (Non-returner)
Arahant,A-la-hán (Liberated one)
Āyatana,Xứ (Sense-base)
Khandha,Uẩn (Aggregate)
Vedanā,Thọ (Feeling)
Saññā,Tưởng (Perception)
Saṅkhāra,Hành (Mental formations)
Viññāṇa,Thức (Consciousness)
Paticcasamuppāda,Duyên khởi (Dependent origination)
Tathāgata,Như Lai (Thus-Gone/Thus-Come)
Bhikkhu,Tỳ-kheo (Monk)
Bhikkhunī,Tỳ-kheo-ni (Nun)
Upāsaka,Cư sĩ nam (Layman devotee)
Upāsikā,Cư sĩ nữ (Laywoman devotee)
Dāna,Bố thí (Generosity)
Sacca-dhamma,Chân lý (Truth of Dharma)
Parinibbāna,Đại Niết-bàn (Final liberation)
Āsava,Lậu hoặc (Mental taints)
Māra,Ma vương (Tempter)
Sati,Niệm (Mindfulness)
Sampajañña,Tỉnh giác (Clear comprehension)
Kusala,Thiện (Wholesome)
Akusala,Bất thiện (Unwholesome)
